Category,Part Number,Description,Vendor,Quantity,in Drawing,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
optomech,B90120B,"Nexus breadboard, 900x1200",Thorlabs,1,,,,,,,,,,,,,
optomech,PFA52507,800mm active isolation frame 900x1200,Thorlabs,1,,,,,,,,,,,,,
optomech,PTA013,air filter,Thorlabs,1,,,,,,,,,,,,,
optomech,PTA015,compressor,Thorlabs,1,,,,,,,,,,,,,
optomech,PTA1006,compressor oil,Thorlabs,1,,,,,,,,,,,,,
optomech,PBG52503/SPLS4,Optical Breadboard 900 x 300 x 58mm M6/25mm/SPL 6mm top and bottom skin. Full Matrix both sides.,Thorlabs,1,,,,,,,,,,,,,
optomech - cavity,PRM05/M,"High Precision Rotation Mount for ¯1/2"" (12.5 mm) Optics, Metric",Thorlabs,2,,,,,,,,,,,,,
optomech ,SS100-F3H,"Suprema Mirror Mount, 1.0 in. Diameter, 3 Locking Hex-Broach, Front Load, 8-32 (M4) CLR",Newport,12,,,,,,,,,,,,,
optomech,ST1XY-A/M,"XY Translator with 100 TPI Drives, Metric",Thorlabs,2,,,,,,,,,,,,,
optomech,U100-A-LH-3H,"Precision Clear Edge Left Handed Mount, 1.0 in. Diameter, 3 Locking Allen-Keys",Newport,1,,,,,,,,,,,,,
optomech,U100-A3H,"Precision Clear Edge Mount, 1.0 in. Diameter, 3 Locking Allen-Key Adjustment",Newport,1,,,,,,,,,,,,,
optomech,LMR1/M,"Metric, Lens Mount for ¯1"" Optics, Retaining Ring Included",Thorlabs,6,,,,,,,,,,,,,
optomech,9481-M,"Pint-Sized Prism Mount, 0.25 to 1.00 in., ±3.5 ¡, M4",Newfocus,1,,,,,,,,,,,,,
optomech,NT64-566,"Optic Mount, 40.0mm Optic Diameter ",Edmund Optics,1,,,,,,,,,,,,,
optomech,NT64-560,"Optic Mount, 25.0mm Optic Diameter ",Edmund Optics,1,,,,,,,,,,,,,
optomech,LP-2A,"XYZ _X_Y Lens Positioner, 2.0 in. (50.8 mm) Diameter",Newport,2,Mounts for DM0 and DM1,,,,,,,,,,,,
